Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Fiendish Stunning Saint Arts, Continuous Barrage Style, Grounded Cavern Form: Trill of Foundation
Foundational Glacial Final Thirst Arts, Infernal Forged Breakout Style, Spanning Responsive Lake Form: Giant Raptor-Evading Shadowless
Merciful Obscure Spiritual Roar Arts, Healing Vampire Style, Adaptive Stealth Form: Sand of the Skeletal Mountainous
Illuminating Basilisk Arts, 82 Fold Many United Style, Bone Form: Disinterment of the Sacred Disciple
Northern Corrupted Blooming Valley Arts, Illusory Rage Style, Unshakable Eternal Venom Form: Fury
Eastern Illuminating Roving Snakeform Arts, Spirit Breakout Style, Radiant Shout Form: Starvation
Cosmic Creation Arts, Shattering Dual Sky Style, Roving Plume Form: Five-Fold Crusher Counterattacking Height
Twin Arrows Arts, Splitting Resonance Style, Cobra Form: Six Coiling Crown
Midsummer Frosty Exchange Arts, Moonlit Polarm Style, Luminous Barrier Form: Unmatched Halo
Ravenous Universal Disinterment Arts, Obscure Wraith Style, Warfield Form: Mist Going Warriors
Unified Cry Arts, Splitting Crane Style, Chaotic Northern Gateways Form: Five-Fold Truth Cutting Taming
Obscure Heaven Arts, Cawing Burst Style, Protective Circle Form: Staff
Final Pyre Arts, Continuous Fish Style, Merciful Silent Form: Triple Kundali Resisting Suffering
Dividing Rocky Arts, Spinning Arrow Style, Gem Enemies Form: Encompassing Galaxy Binding Tongue
Sudden Enlightenment Arts, Big Blossom Style, Lunar Chill Form: Five-Fold Traceless Poking Buddha
Lower Book Arts, Divine Traversing Gallant Style, Lunar Demonic Woods Form: Five-Fold Talon Sharpening Cobra
Bloody Chaotic Possession Arts, Spiraling Fist Style, Hunyuan Form: Six Biting Plague
Ghostly Stream Arts, Demonic Crystalline Onyx Style, Hands Form: Elbow
Hidden Block Arts, Emerald Merciful Felling Style, Pure Righteous Palm Form: Shapeshifter of the Spirit Archery
Unmatched Penetration Arts, Bloom Style, Facing Sylvan Form: United of Frontier
Skeletal Trial Arts, Stunning Traversing Blood Style, Repentant Exchange Form: Body of the East
Basic Repentant Shadowless Arts, Plate Style, Spiritual Tang Form: Giant Traceless-Aiming Sweep
Profound Fatal Battalion Arts, Ethereal Forged Embrace Style, Roving Stalwart Form: Grove
Dual Sutra Arts, Thunderous Gallant Snowlocked Style, Bloodthristy Parallel Form: Dual-Wheel Ensnaring Veil
Red Heavenhold Arts, Coated Extended Single Style, Grand Opening Form: Mountian
Icy Countless Slicing Tea Arts, Skeletal Diving Governing Style, Absolute Origin Form: Swan of the Cleave
Consecutive Hawkstrider Arts, Crossing Destructive Facing Style, Imperial Taebaek Form: Dual-Zenith Drifting Bird
Iron Unity Arts, Grounded View Style, Downward Monk Form: Coral Spin
Secret Nails Arts, Emerald Birthless Change Style, Angel Form: Mystic Assault
Grand Bone Arts, Mad Elusive Calm Style, God Form: Dual-Snakeform Descending Duck
Crimson Fury Arts, Extreme Shade Style, Weapon Form: Triple King Conquering Millennium
Enlightened Yang Arts, Sweeping Bloody Full Style, Lower Ripple Form: Downward Family
Black Unrivaled Intention Arts, Obscure Quell Style, Adaptive Sonic Space Form: Five-Fold Depth Weakening Breakout
Red Glow Arts, Saving Coral Momentum Style, Devouring Nomad Form: Crazy Netherworld
Traceless Nothingness Arts, Endless Underworld Style, Astral Meditation Form: Triple Stride Blowing Weaver
Spinning Cosmic Glacial Saber Arts, Shattering Enemy Style, Strikes Form: Harmony of the Fate
Ethereal Snowfield Arts, North Prajna Style, Old Hawkstrider Form: Sea Cutting Butterfly
Many Vile Gallant Avatar Arts, Cosmic Nature Style, Forged Burning Steps Form: Triple Needle Leaping Manipulation
Absolute Mental Arts, Lofty Style, Infinite Staff Form: Instance Observing Daybreak
Hidden Fall Arts, Ghostly Meridian Style, Ripping Thundershock Form: Giant Shadowless-Slicing Scriptures
Killing Blood Arts, Crusher Style, Moonlit Descending Dao Form: Bone Blazing Venom
Penetrating Bright Traceless Arts, Deity Style, Celestial Mysterious Meditation Form: Method-Resting Grand Hawk
Waxing Plume Arts, Fading Steps Style, Elegant Illusory Hoarforst Form: Big Authority Ascending Suffering
Corvid Elemental Unshakable Storms Arts, Infinite Possession Style, Solar Coil Form: Triple Sky Countering Fang
Crossing Featherweight Pearl Arts, Daoist Style, Perfect Shadowless Form: Triple Dust Chopping Shapeshifter
Fading Grappling Limitless Divinities Arts, Lofty Style, Fortress Form: Righteous Cross
Vile Warmth Arts, Illusory Finishing Many Style, Splitting Stun Form: Obsidian Body Chopping Raptor
Heartless Vile Mighty Dew Arts, Featherweight Augmented Wounding Style, North Form: Giant Mindscape-Linking Remains
Dirty Shower Arts, Heartless Frostbite Style, Kill Form: Spirits-Breaking Universal Mist
Advanced Saber Arts, Metallic Cawing Taming Style, Primordial Step Form: Life
Elemental Ghost Arts, Burst Style, Waltz Form: Ethereal Starlit Leaping Crush
Illusory Snow Eternal Counter Arts, Foundational Apex Divinities Style, Gem Nebula Form: Dual-Ascent Biting Technique
Ancient Sun Arts, Feral Elegant Corvid Style, Many Grounded Siege Form: Six Concealing Long
Bloodthristy Dual Path Arts, Feral Solar Mindless Style, Eternal Fish Form: Pierces of the Awakening
Ascending Elbow Arts, Drain Style, Wrath Form: Throwing Harmony
Wandering Scheme Arts, Heavenly Mighty Unmatched Style, Stunning Soar Form: Five-Fold Quartet Concealing King
Absolute Spirit Brush Arts, Lightning Style, Holy Sanctity Form: Governing Awakening
Boundless Intent Arts, Nefarious Wolf Style, Basic Pillar Form: Five-Fold Blister Transforming Karmic
Quick Crystalline Shell Arts, Immortal Buddhist Dirty Style, Brilliant Aureate Haunt Form: Finishing Scale Flowing Nails
Midsummer Mountian Arts, Wild Sonic Illusion Style, Cursed Latch Form: Dual-Foundation Traveling Silent
Flying Devouring Primordial Gate Arts, Wicked Illusory Madness Style, Capped Shura Form: Style
Perfect Seal Arts, Outward Galaxy Style, Dancing Cleave Form: Veiled-Conquering Blessed Monkey
Fertile Neck Arts, Crows Style, Destruction Form: Proud
White Spirit Fog Arts, Legged Holy Basic Style, Warfield Form: Giant Master-Binding Rotation
Spiritual Killing Sharpened Arts, Golden Gallant Spark Style, Devastating Sect Form: Giant Infiltration-Fighting Sun
Obscure Moonlight Arts, Mad Repentant Infinite Style, Universal King Form: Solar Sky Soothing Drain
Imperial Woods Arts, Drunken Big Polarm Style, Living Stealth Form: Angel of the Mothers
Cawing Adamantine Aspects Arts, Grafting Unrestrained Style, Celestial Immortal Wheel Form: Fleche
Unrivaled Gem Drowned Arts, Corrupted Crow Style, Enlightened Magnanimous Aura Form: Volley
Tearing Descending Downward Tai Arts, Emerald Wild Burst Style, Boundless Destruction Form: Mysterious Crushes Attacking Severance
Traceless Dive Arts, Repelling Radiant Way Style, Saving Double Spring Form: Six Draining King
Obscure Steel Arts, Aureate Curse Style, Center Archery Form: Body of the Healing Daoist
Rebounding Dancing Fatal Vajrayana Arts, Spiritual Slayer Style, Earthen Whirlwind Form: Illuminating Cobra Slicing Skull
Tidal Snowlocked Arts, Corvid Ladder Style, Coastal Wanderer Form: Phenomena Lunging Ink
Yellow Downward Unparalleled View Arts, Righteous Undivinable Killing Style, Charging Tongue Form: Self Emerging Star
Luminous Spiritage Arts, Ravenous Infinite Ursine Style, Merciful Thread Form: Coil of Guardian
Gem Cardinal Mothers Arts, Granite Style, Drunken Lost Form: Team-Evading Holy Cavern
Unforgiving Needle Arts, Giant Quick Shade Style, Divine Claw Form: Slip-Countering Descending Thread
Adamantine Saber Arts, Sweeping Exchange Style, Facing Fiery Crushes Form: Direction of the Split
Celestial Abyssal Grafting Hawk Arts, Extended Whirling Single Style, Ceremony Form: Spin Raining Crash
Apex Shapeshifter Arts, Magnanimous Warriors Style, Eternal Killer Form: Five-Fold Plume Crouching Jewel
Treading Saber Arts, Waters Style, Twin Soft Form: Five-Fold Palm Shaking Swan
Blessed Noble Arts, Calm Hellish Dividing Style, Cosmic Sheet Form: Responsive Motion Invigorating Priest
Fatal Final Fairy Arts, Destructive Monkey Style, Subduing Aquatic Temper Form: Six Stealing Ascension
Evil Unparalleled Birthless Lattice Arts, Martial Tang Style, Undivinable Salvation Form: Chaos of the Ethereal Center
Fertile Script Arts, Charging Parallel Gust Style, Lower Royal Form: Touch of the Brilliant Mothers
Metallic Holy Onyx Consciousness Arts, Forged Luminous Spinning Style, Waxing Claw Form: Big Strikes Reflecting Daybreak
Invisible Blister Arts, Encompassing Heart Style, Binder Form: Apex Finger Sacrificing Claw
Countless Foundational North Fire Arts, Precept Style, Diving Beasts Form: Fatal Infusion
Gentle Scripture Arts, Rotation Style, Devouring Kundali Form: Prelude of the Descending Temper
Traceless Intoxicated Windswept Arts, Rebounding Discipline Style, Rolling Master Form: Unknowable Beak
Undivinable Grounded Torment Arts, Coral Circulation Style, Crazy Tiger Form: Dual-Wheel Walking Majestic
Full Motion Arts, Thunderbolts Style, Southern Glide Form: Five-Fold Kundali Gathering Pear
Legged Origin Arts, Cardinal Vermillion Priest Style, Charging Tearing Serpent Form: Leniency
Throwing Earthly Imperial Drain Arts, Emptiness Style, Shooting Edge Form: Foundational Cuts Paralizing Sun
Demonic Illuminated Arts, Obsidian Waves Style, Spanning Radiant Tide Form: Rapid of the Gem Skill
Sweeping Hellish Remains Arts, Sacred Indestructible Cove Style, Crossing Eternal Form: Domination Observing West
Rightful Augmented Surface Arts, Quick Crane Style, Glacial Mount Form: Dual-Venom Enduring Lotus
Southern Snake Arts, Universal Shura Style, Wounding Toxin Form: Swords of Vedas
Riding Grand Liberated Prism Arts, Killing Mountian Style, Magnanimous Wicked Stance Form: Penetration of Cutter
Mad Thunderwake Arts, Riding Celestial Slicing Style, Grip Form: Spiral of the Exorcism
Unparalleled Fertile Bronze Nether Arts, Slayer Style, Cutting Origin Form: Dual-Sky Concealing Mental
Moonlit Frosty Striking Nullification Arts, Tea Style, Vile Featherweight Remains Form: Giant Shadowless-Cutting Bow
Poisonous Swing Arts, Phantom Style, Sinister Form: Six Going Halo
Perfect Assimilation Arts, Twin Tearing Enlightened Style, Emerald Devouring Balance Form: Liberated Sharpened
Buddhist Full Scatter Arts, Breakthrough Style, Extinguishing Mobility Form: Six Tangled Possession
Dark Gallant Pyrocascade Arts, Unshakable Counter Style, Fading White Trill Form: Dual-Raptor Airsplitting Quanzhen
Corrupted Rock Arts, Whirling Rolling Fiery Style, Waxing Many Swing Form: Featherweight Tong Matching Elder
Cawing Liberated Opening Arts, Defensive Double Earthly Style, Soft Form: Deities of Spiritage
Snow Asterism Arts, Few Spiritual Rapid Style, Chaotic Devastation Form: Five-Fold Polarm Counterattacking Paradise
Few Guardian Arts, Hidden Wood Style, Dominating Veiled Form: Beam Binding Starvation
Outward Constellation Arts, Barrier Style, Tigers Form: Six Covering Fortune
Silver Signless Arts, Balanced Responsive Grand Style, Perfect Heritage Form: Destructive Siege Taking Counter
Quick Orthodox Arts, Cosmic Disinterment Style, Balanced Direction Form: Pulse Slicing Motion
Balanced Unshakable Heart Arts, Infernal Ascending Cut Style, Basilisk Form: Dual-Wraith Binding Rapid
Snow Earthquakes Arts, Holy Foxform Sonic Style, Moonlit Remains Form: Master Enduring Breaker
Killing Unified Illuminating Array Arts, Traceless Soaring Downward Style, Sonic Intoxicated Hell Form: Triple Winds Searing Blood
Profound Shatter Arts, Traceless Malevolent Onyx Style, Soar Form: Specter-Chopping Frosty Disruption
Foundational Adaptive Radiant Wall Arts, Heartless Dark Earthly Style, Jade Exchange Form: Giant Things-Traveling Temple
Unified Wood Arts, Consecutive Evil Madness Style, View Form: Five-Fold Constellation Lunging Sisi
Burning Ocean Arts, Infernal Grand Mystic Style, Elusive Demonic Vajrayana Form: Giant Cross-Drifting Sound
Traversing Mighty Paradise Arts, Frenzy Style, Big Dew Form: Dual-Needle Tearing Light
Rightful Guardian Arts, Repelling Mirage Creation Style, Deep Many Deity Form: Waltz of the Snow Nothingness
Crazy Penetration Arts, Luminous Wandering Mental Style, Petal Beasts Form: Giant Temple-Fighting Flesh
Golden Grand Fatal Stealth Arts, Beasts Style, Triadic Form: Space
Ultimate Scriptures Arts, Surge Style, Mirage Nature Form: Life of Qintfade
Downward Onyx Harmony Arts, Sea Style, Triadic Form: Cultivation
Buddhist Redemption Arts, Warrior Style, Soar Form: Torment
Balanced Prajna Arts, Perfect Variation Style, Imperial Endless Annihilation Form: Six Counterattacking Wrath
Solar Rebounding Malevolent Waterfall Arts, Bloodstained Traversing Glacial Style, Calm Staff Form: Six Ending Yang
Ascending Bronze Killing Swift Arts, Immortal Fate Style, Augmented Bodhi Form: Serpent of Martyr
Shadow Angel Arts, Charging Formless Radiant Style, Mysterious Method Form: Six Resonating Destroyer
Crystalline Polarm Arts, Big Countless Unmatched Style, Aquatic Diving Trap Form: Shroud Resonating Pearl
Cutting Sweetened Arts, Burst Style, Mad Crushes Form: Giant Hawk-Falling Fire
Buddhist Devastating Sect Arts, Azure Point Style, Birthless Downward Cosmos Form: Piercer of Cleave
Fleeting Aureate Mysterious Repents Arts, Black Lord Style, Posture Form: Coated Millennium Feinting Eclipse
Martial Contemplate Arts, Absolute Exchange Style, Equine Duck Form: Star of the Plume
Augmented Winter Arts, Repelling Obsidian Empty Style, Penetrating Void Beam Form: Song of Protector
Unrivaled Radiant Malevolent West Arts, Demonic Fiend Style, Solar Dark Steel Form: Cleave
Ripping Maelstrom Arts, Splitting Wisdom Style, Stellar Mindless Form: Chaotic Latch
Endless Kick Arts, Imperial Wild Asterism Style, Crystalline Blister Form: Six Invigorating Ruin
Corrupted Water Arts, Formless Direction Style, Grappling Maiden Form: Five-Fold Forms Searching Yin
Mighty Violent Consonance Arts, Aquatic Beam Style, Arching Cuts Form: Giant Suffering-Twisting Discipline
Void Shadowless Arts, Traversing Marquis Style, Dancing Elder Form: Harvest Flying Self
Ancient Tremor Arts, Astral Grip Style, Limitless Karmic Form: Switch
Apex Killing Break Arts, Corrupted Ripping View Style, Sealing Grasp Form: Prelude of the Scatter
Merciful Sweep Arts, Grounded Wood Style, Exploding Poisonous Karma Form: Dual-Truth Ascending Manifestations
Wild Unshakable Road Arts, Sacred Unified Holy Style, Onyx Storm Form: Hidden Interference Searching Tea
Healing Hidden Fleche Arts, Blazing Repents Style, Ascending Prestissimo Form: Single Rotation
Cold Spinning Clouds Arts, Spiraling Depth Style, Descending Prestissimo Form: Lofty of the Sky
Cardinal Woods Arts, Nefarious Underworld Style, Slicing Forest Form: Flesh of the Riddle
Blessed Cold Devouring Omnidirectional Arts, Living Slayer Style, Many Daybreak Form: Chop of the Gem Exchange
Undivinable Leniency Arts, Arching Grasp Style, Capped Flight Form: Poisons of the Obsidian Bolt
Luminous North Arts, Pierce Style, Holy Hellish Vigor Form: Angel Traversing Ruin
Protective Unrestrained Arts, Boxing Temper Style, Sweeping Warmth Form: Roving Pounce
Merciful Binder Arts, Great Polearm Style, Glacial Fairy Form: Five-Fold Cleave Rising Swords
Adamantine Bodhidharma Arts, Capped Scholar Style, Continuous Book Form: Stretched-Bowing Enlightened Guard
Stunning Silver Sonic Pearl Arts, Illusory Deities Style, Ethereal Vajrapani Form: Six Enduring Moon
Holy Quick Madness Arts, Arching United Style, Governing Wall Form: Quake Covering Blade
Holy Pillar Arts, Warriors Style, Ascension Form: Dual-Eagle Resisting Icebolt
Emerald Formless Underworld Arts, Consecutive Reaper Style, Clarity Form: Aegis Shattering Crow
Eastern Cascade Arts, Evil Undivinable Prajna Style, Final Heartless Aura Form: Giant Reflection-Feinting Calamity
Striking Meditation Arts, Extreme Talon Style, Flesh Form: Triple Prism Traveling Path
Liberated Arrows Arts, Evil Glacial Unshakable Style, Killing Primordial Authority Form: Basic Glide Flowing Warmaster
Graceful Perfect Birthless Temper Arts, Mystic Mirage Neck Style, Infinite Emerald Wanderer Form: Drain-Aiming Wicked Starlight
Ascending Siege Arts, Sealing Direction Style, Capped Vigor Form: Five-Fold Spiral Vispering Chill
Traceless Iron Pure Beast Arts, Great Path Style, Slicing Vedas Form: Extended Asura Transforming Stretched
Burning Truth Arts, Righteous Descent Style, Rolling Primordial Sanctum Form: Rampage
Limitless Nether Arts, Thunderous Grip Style, Crossing Mount Form: Five-Fold Beast Stabbing Meditation
Consecutive Repentant Crystalline Stance Arts, 91 Fold Technique Style, Elemental Transparency Form: Six Biting Paradise
